"cnpj","nome_coop","auditorIndependente"
48172860,"A COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BRAZIL GR LTDA.","PADRAO AUDITORIA S/S"
48172860,"A COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BRAZIL GR LTDA.","PADRAO AUDITORIA S/S"
106180,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","AUDSERVICE AUDITORES ASSOCIADOS SOCIEDADE SIMPLES LTDA"
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA"
1401771,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
34148882,"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA - SICOOB CENTRAL BA","BAUER AUDITORES ASSOCIADOS"
25683434,"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
63917579,"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO","MOORE PRISMA AUDITORES INDEPENDENTES"
3502131,"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE","AUDICONSULT AUDITORES SS"
7202627,"COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
21198087,"COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER","RAFAEL BIEDERMANN MARIANTE"
315557,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
33737818,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA"
33667205,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA"
70119680,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA"
87437687,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA"
