"cnpj","nome_coop","auditorIndependente"
9463721,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL JACINTO MACHADO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7958405,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL SERRA MAR","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
9330158,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL TREZE DE MAIO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
971300,"COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
32422628,"COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
8240446,"COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
82639451,"COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
3612764,"COOPERATIVA DE CRÉDITO  DE FRONTEIRAS  LTDA. - SICOOB FRONTEIRAS","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA"
5545390,"COOPERATIVA DE CRÉDITO - SICREDI COOMAMP","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
41180092,"COOPERATIVA DE CRÉDITO - SICREDI EXPANSÃO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
70038237,"COOPERATIVA DE CRÉDITO - SICREDI RIO GRANDE DO NORTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
42873828,"COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
21110927,"COOPERATIVA DE CRÉDITO CLÁSSICA DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - SICOOB EUCRED","MOORE PRISMA AUDITORES INDEPENDENTES"
54401286,"COOPERATIVA DE CRÉDITO COCRE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
44401800,"COOPERATIVA DE CRÉDITO COGEM","PADRAO AUDITORIA S/S"
53935029,"COOPERATIVA DE CRÉDITO COOCRELIVRE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
53623781,"COOPERATIVA DE CRÉDITO COOPCRED","LUCIANO GOMES DOS SANTOS"
2814832,"COOPERATIVA DE CRÉDITO COOPHARMA","D'AGOSTINI CONSULTORIA E AUDITORIA S/S"
19449602,"COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER","BAUER AUDITORES ASSOCIADOS"
67096909,"COOPERATIVA DE CRÉDITO CREDICOCAPEC","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
38588174,"COOPERATIVA DE CRÉDITO CREDICOPE LTDA. - SICOOB CREDICOPE","COOPERAUDI AUDITORES INDEPENDENTES"
67960229,"COOPERATIVA DE CRÉDITO CREDIGUAÇU - SICOOB CREDIGUAÇU","MOORE PRISMA AUDITORES INDEPENDENTES"
1152097,"COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA","BAUER AUDITORES ASSOCIADOS"
66262643,"COOPERATIVA DE CRÉDITO CREDIPEU LTDA.  - SICOOB CREDIPEU","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
2197569,"COOPERATIVA DE CRÉDITO CREDSAOPAULO - SICOOB CREDSAOPAULO","BAUER AUDITORES ASSOCIADOS"
9512539,"COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2405189,"COOPERATIVA DE CRÉDITO DA GRANDE FLORIANÓPOLIS - ÚNILOS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
10218474,"COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
9590601,"COOPERATIVA DE CRÉDITO DA SERRA CATARINENSE - CREDICOMIN","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
57987273,"COOPERATIVA DE CRÉDITO DE CAPITAL E EMPRÉSTIMO DOS EMPREGADOS CELETISTAS DE COOPERATIVAS DOS ESTADOS DE SÃO PAULO E MINAS GERAIS - COCREUNI","MOORE PRISMA AUDITORES INDEPENDENTES"
5247312,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO BURITIS - SICOOB BURITIS","BAUER AUDITORES ASSOCIADOS"
10209619,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE GOIÂNIA LTDA.","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
71261184,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CAPARAÓ LTDA. - SICOOB SAÚDE","BAUER AUDITORES ASSOCIADOS"
10143743,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO BRASIL - CREVISC","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
6910457,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO","MOORE PRISMA AUDITORES INDEPENDENTES"
2833202,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE VITÓRIA DA CONQUISTA","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
16779741,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
3326437,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS","BAUER AUDITORES ASSOCIADOS"
10319386,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS","BAUER AUDITORES ASSOCIADOS"
10262276,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA","HELIO MAZZI JUNIOR"
